Unnamed: 0,French,English
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,chaque,each
15,parlé,speak
16,arrivé,come
18,longtemps,long time
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
26,savais,knew
28,attention,Warning
30,pourrais,could
31,affaire,case
33,type,type
35,donné,given
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
44,pouvoir,power
45,vieux,old
46,sois,be
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
53,suite,after
54,pardon,sorry
56,vers,towards
57,minutes,minutes
59,mis,placed
60,belle,beautiful
61,droit,law
62,aimerais,would like to
63,mari,husband
64,cause,cause
67,eau,water
68,attendez,Wait
69,parti,left
70,nouvelle,new
71,boulot,job
72,arrêter,Stop
73,dirait,would say
75,donne,given
76,loin,far
78,croire,believe
79,gros,large
80,plutôt,rather
81,aura,will have
82,filles,girls
83,jouer,to play
